TIME,D16,D17,D19,D21,D22,D23,D26,R13,R14,R15,R18,R20,R24,R25
10/21/2016 4:00,-1.547496667,-1.0712,-1.19302,0.853880333,-0.747069667,-0.389615667,-0.005478523,21.9483,6.401796667,-2.196836667,-0.857798,9.12649,-4.387073333,17.3602
10/21/2016 5:00,-1.400306667,-0.754121333,-0.773561667,0.818254333,-0.668958333,-0.121929667,0.0680138,23.10316667,5.754393333,-0.383166333,-0.351402833,13.38886667,-3.088123333,18.57826667
10/21/2016 6:00,-1.24362,-0.496173,-0.1450218,0.674256,-0.581128,-0.123568833,0.120595667,22.61266667,5.159766667,3.275313333,3.123223333,17.39246667,-1.68943,18.2797
10/21/2016 7:00,-1.049330667,-0.015255067,0.552289667,0.605482667,-0.518932333,-0.162567,0.134679333,20.4919,4.454046667,8.17978,7.452066667,20.90203333,-0.337179667,16.71106667
10/21/2016 8:00,-0.852164333,0.299858333,1.435456667,0.609530333,-0.405908333,-0.126770333,0.159275,16.935,3.52289,13.40696667,11.48333333,23.6671,1.245772667,14.45053333
10/21/2016 9:00,-0.740778667,0.557477667,2.13307,0.642194,-0.235256667,-0.130590667,0.191026667,13.76893333,2.518173333,17.97493333,14.89893333,25.48276667,3.114366667,12.85173333
10/21/2016 10:00,-0.671842333,0.510948,2.603213333,0.658102667,-0.1280152,-0.149091333,0.21993,11.58733333,1.70799,21.28003333,17.19643333,26.02616667,4.376033333,11.6698
10/21/2016 11:00,-0.613646,0.820947667,3.184653333,0.660445,-0.046056433,0.028779533,0.242505333,9.795163333,1.045071333,22.24083333,16.75606667,24.5995,3.867906667,10.538
10/21/2016 12:00,-0.594983,0.92612,3.28462,0.655298667,-0.028494167,0.135103,0.254895333,8.186103333,0.448256667,18.34486667,11.47263333,20.20616667,0.7392715,9.350803333
10/21/2016 13:00,-0.614655667,0.908271333,2.979753333,0.669374333,-0.009380333,0.0941413,0.280055667,6.92931,-0.1587586,14.21206667,8.124943333,16.75813333,-0.406039333,8.386436667
10/21/2016 14:00,-0.652489667,0.957157333,2.738843333,0.681666333,-0.014680227,0.0704511,0.241545333,5.890893333,-0.694062333,11.1189,5.97286,14.26346667,-1.002629,7.52389
10/21/2016 15:00,-0.725957667,0.985199333,2.234383333,0.689860667,-0.00444443,0.072024967,0.139244767,5.033893333,-1.162346667,8.721003333,4.47356,12.38503333,-1.82463,6.62999
10/21/2016 16:00,-0.819571667,1.021186667,1.762583333,0.701767667,-0.013719563,0.089084933,0.039261183,4.170683333,-1.625156667,6.637986667,3.284303333,10.85213333,-2.63599,5.87538
10/21/2016 17:00,-0.958734333,0.965448333,1.352776667,0.706196667,-0.043147067,0.0797701,0.036158567,3.457296667,-2.001716667,4.842263333,2.299003333,9.502383333,-3.463023333,5.285636667
10/21/2016 18:00,-1.090323333,0.857854,0.977745667,0.704308,-0.040932967,0.0921545,0.064353633,2.851476667,-2.27049,3.23059,1.46174,8.285266667,-4.447926667,4.800733333
10/21/2016 19:00,-1.21848,0.662537,0.509994333,0.703910333,0.00607396,0.102230067,0.065739,2.22871,-2.515486667,1.779773333,0.710226333,7.14951,-5.46172,4.24795
10/21/2016 20:00,-1.353586667,0.404424667,0.063472333,0.717743,-0.041076343,-0.0635243,0.062957133,1.61292,-2.89686,0.578213667,0.135601767,6.210066667,-6.08059,3.631173333
10/21/2016 21:00,-1.50175,0.0457188,-0.094827667,0.723298667,-0.121030933,-0.196027,-0.0252533,1.151081667,-3.199816667,-0.377348333,-0.266513,5.44619,-6.430753333,3.218503333
10/21/2016 22:00,-1.622513333,-0.299174333,-0.425634,0.735281667,-0.189716333,-0.225203333,-0.232036,0.779573,1.338767667,-1.021296,-0.610275,4.767243333,-6.64948,2.81314
10/21/2016 23:00,-1.9658,-0.815999333,-0.844422,0.749655667,-0.298710667,-0.335066,-0.420291333,0.465126333,6.485023333,-1.72015,-1.000004333,4.00381,-7.3845,2.439113333
10/22/2016 0:00,-2.024376667,-1.351023333,-1.038468333,0.751439333,-0.364864667,-0.471862,-0.285164667,0.164336333,8.820546667,-2.376053333,-1.321146667,3.34977,-8.081243333,2.077443333
10/22/2016 1:00,-2.228576667,-1.795733333,-1.205246667,0.762429333,-0.383280333,-0.614057333,-0.239119,3.969428,9.111526667,-2.748386667,-1.430256667,2.918356667,-7.983336667,4.771473333
10/22/2016 2:00,-2.44647,-2.01541,-1.2711,0.754802333,-0.397529667,-0.703881667,-0.323788,12.69236667,7.78865,-2.713696667,-1.269353333,2.775466667,-7.426993333,10.19178333
10/22/2016 3:00,-2.48008,-1.832103333,-1.364216667,0.759005,-0.340513333,-0.635468333,-0.299478,18.19503333,6.2504,-2.572443333,-0.94656,5.390556667,-6.84565,14.23413333
10/22/2016 4:00,-2.376396667,-1.188041333,-1.25893,0.734651333,-0.269827667,-0.303450933,-0.272963667,21.691,5.418463333,-2.03929,-0.636871333,9.91903,-5.820536667,16.92283333
10/22/2016 5:00,-2.11152,-0.468098,-0.902499,0.677939,-0.228080667,0.093296967,-0.213603333,23.02216667,4.92165,-0.166879667,-0.228065667,14.3088,-4.013466667,18.06313333
10/22/2016 6:00,-1.879646667,-0.034774467,-0.294471133,0.601784,-0.226551333,-0.058621767,-0.174773333,22.39103333,4.44668,3.557746667,3.31842,18.3158,-2.31012,17.79576667
10/22/2016 7:00,-1.589723333,0.455557,0.550044667,0.516977667,-0.138559667,-0.161495667,-0.142252,20.51823333,4.258043333,8.413806667,7.764286667,21.86916667,-1.134464333,16.32436667
10/22/2016 8:00,-1.290166667,0.823845667,1.4466,0.472769333,-0.0441453,-0.022758467,-0.104154633,17.00253333,3.896643333,13.7065,12.0462,24.85123333,-0.002403567,14.18336667
10/22/2016 9:00,-1.005454,0.662168,2.35395,0.523427,0.245649333,-0.116303167,-0.074973433,14.01323333,3.172103333,17.67956667,15.35713333,26.57176667,2.161216667,12.66323333
10/22/2016 10:00,-0.943093,0.669332667,3.00537,0.541782,0.381725,-0.129912067,-0.076932567,12.2303,2.229743333,18.83736667,14.48833333,25.1404,4.11023,12.0492
10/22/2016 11:00,-0.858126333,0.955844333,3.211716667,0.560727333,0.434248,0.07190858,-0.071501067,10.97366667,1.267945667,16.3067,10.60781333,21.0702,3.640106667,11.62476667
10/22/2016 12:00,-0.814654333,1.025944667,3.13235,0.576995333,0.381802667,0.187559667,-0.065940867,9.470463333,0.518068333,13.5064,7.991403333,17.8027,0.695616233,10.31443333
10/22/2016 13:00,-0.828099333,1.103123333,2.89306,0.578966667,0.397776667,0.236914667,-0.0626669,8.237213333,-0.222231567,11.1403,6.04985,15.24923333,-0.330720667,9.198196667
10/22/2016 14:00,-0.855807667,1.271623333,2.640353333,0.58974,0.415429667,0.221599,-0.044648167,6.829006667,-0.827037333,8.740373333,4.392876667,13.16763333,-0.878158,8.135383333
10/22/2016 15:00,-0.892545667,1.232563333,2.141696667,0.601983,0.417264,0.202274,-0.027213733,5.745623333,-1.248303333,6.62462,3.133936667,11.4651,-1.76196,7.238283333
10/22/2016 16:00,-0.990493667,1.043402667,1.68412,0.610983333,0.393851,0.193406667,-0.018049567,4.76904,-1.666943333,4.733343333,2.076706667,9.910203333,-2.748286667,6.422973333
10/22/2016 17:00,-1.105636667,0.89046,1.272486667,0.624523333,0.390764,0.126848667,-0.0169951,3.95767,-2.096963333,3.10434,1.239794333,8.694133333,-3.79251,5.75118
10/22/2016 18:00,-1.29268,0.749568667,0.930212333,0.629851333,0.327766667,0.079445533,-0.022802667,3.243696667,-2.504216667,1.66579,0.580950333,7.650156667,-4.715743333,5.13496
10/22/2016 19:00,-1.366753333,0.503075,0.629318333,0.638858,0.306475,0.046727167,-0.030117667,2.610743333,-2.907746667,0.4343961,0.069417367,6.71927,-5.546583333,4.564026667
10/22/2016 20:00,-1.51964,0.354348,0.096004333,0.652658333,0.252336333,0.0598224,-0.0488879,1.94602,-3.252596667,-0.601681333,-0.380612333,5.89367,-6.202906667,4.01374
10/22/2016 21:00,-1.795083333,0.343165333,-0.278150667,0.667027333,0.175024667,0.049482667,-0.071809133,1.41546,-3.52625,-1.35575,-0.774532,5.13535,-6.578443333,3.46343
10/22/2016 22:00,-1.90018,0.218759167,-0.473111667,0.664796333,0.120412667,-0.066787567,-0.172747333,0.928951667,0.707304667,-2.106503333,-1.177173333,4.4671,-7.043933333,3.01131
10/22/2016 23:00,-1.87013,-0.221133833,-0.761707,0.658462667,0.04376636,-0.21955,-0.279787,0.542217,5.731903333,-2.82399,-1.602766667,3.773066667,-7.766603333,2.536413333
10/23/2016 0:00,-1.983993333,-0.653331667,-1.038903333,0.667077,0.02033996,-0.357064,-0.353707333,0.201061667,8.172416667,-3.461273333,-1.922896667,3.203066667,-7.808993333,2.0234
10/23/2016 1:00,-2.211153333,-0.934463,-1.160596667,0.669500667,-0.03552245,-0.400889333,-0.406530333,3.922354667,8.568506667,-3.71844,-1.983183333,2.834193333,-7.852313333,4.518326667
10/23/2016 2:00,-2.449266667,-1.129046667,-1.223546667,0.656546333,-0.032546713,-0.423704667,-0.396378333,12.42313333,7.455573333,-3.573136667,-1.7688,2.699153333,-7.446776667,9.787833333
10/23/2016 3:00,-2.523103333,-0.699381333,-1.32685,0.568657,-0.0799176,-0.246026,-0.383560667,17.95686667,6.15945,-2.975503333,-1.318516667,5.198956667,-6.6389,13.6968
10/23/2016 4:00,-2.390553333,-0.427214667,-1.046148,0.469682667,0.0530425,-0.044684333,-0.382804667,21.2171,5.477156667,-2.021876667,-0.765147667,9.42589,-5.382103333,16.41096667
10/23/2016 5:00,-2.089616667,-0.0714025,-0.591448333,0.426761667,0.168459333,0.281372333,-0.365443667,22.84653333,5.008236667,-0.060625,-0.260135967,13.95953333,-3.40024,17.6234
10/23/2016 6:00,-1.764646667,0.439031667,0.2528062,0.395519667,0.226688667,0.212229,-0.308442333,22.43356667,4.542743333,3.916286667,3.278033333,18.2536,-1.499323667,17.4548
10/23/2016 7:00,-1.302513333,0.708434667,1.334133333,0.386420333,0.301511333,0.182872,-0.247267,20.4744,3.892656667,8.881743333,7.635966667,21.61776667,0.1022778,16.114
10/23/2016 8:00,-0.938566667,1.25279,2.160233333,0.402108333,0.356259,0.246682333,-0.186078667,17.05286667,3.065733333,14.32363333,11.93346667,24.78433333,2.05534,14.09623333
10/23/2016 9:00,-0.749886333,1.637963333,2.94002,0.423239,0.449217667,0.568630667,-0.150516,14.01053333,2.119633333,18.7032,15.45713333,26.73743333,3.759813333,12.67376667
10/23/2016 10:00,-0.682467333,1.559186667,3.670656667,0.414763,0.455662333,0.410609667,-0.149821,11.82803333,1.408816667,21.75206667,17.41576667,27.10383333,4.82955,11.559
