"RGID","longitude","latitude","maat","pisr"
1,445667.3452,3369434.664,-1.55217802524567,1256.8134765625
1,401665.0128,3368026.277,-0.553961098194122,1248.92150878906
1,433857.1046,3368747.286,-3.61723732948303,1367.66613769531
1,307870.6123,3400898.924,-1.23795330524445,1402.72302246094
1,264633.8469,3441171.615,-0.593433141708374,1357.13598632812
1,253226.7382,3453383.069,-0.993278980255127,1350.03051757812
1,339852.4624,3409211.089,-3.39971876144409,1402.73547363281
1,389114.6307,3370171.546,-2.59624934196472,1337.74011230469
1,344887.3814,3433045.771,-4.51360988616943,1357.86120605469
1,408072.3266,3411812.394,-3.69845104217529,1378.70141601562
1,338365.2209,3385367.075,-0.77557373046875,1278.66711425781
1,397185.1643,3354721.262,-1.69617128372192,1175.72058105469
1,393431.9712,3362308.127,-2.72012066841125,1312.65075683594
1,324411.783,3450831.504,-5.975172996521,1481.01159667969
1,324157.6236,3449385.465,-5.83516263961792,1375.81494140625
1,394134.5367,3361613.536,-2.99976444244385,1297.69262695312
1,393666.1457,3362190.9,-2.36380219459534,1296.42895507812
1,393216.4887,3362948.875,-1.97450304031372,1294.07067871094
1,426734.1753,3357767.298,0.412642747163773,1274.53991699219
1,426201.3921,3358305.176,-0.0751573443412781,1314.44287109375
1,430268.5903,3355369.067,0.699165761470795,1160.05480957031
1,408079.1397,3336249.937,1.9966014623642,1375.408203125
0,374745.7568,3347073.747,2.83821892738342,1199.54370117188
0,376109.7501,3346964.889,1.49242734909058,1250.72680664062
1,391878.666,3339522.28,0.330792814493179,1339.64575195312
1,391099.2964,3340171.933,-0.215914338827133,1332.78845214844
1,390660.6363,3340993.803,-0.579231381416321,1364.875
1,393052.9753,3340891.295,1.71146714687347,1251.20886230469
1,391159.7056,3338535.552,1.72829234600067,1140.97802734375
1,390630.7477,3339444.654,0.235467478632927,1207.53051757812
1,393010.2548,3346698.019,-1.78965640068054,1379.25915527344
1,421951.6488,3367218.376,0.02292893640697,1125.02868652344
1,424938.2294,3367804.872,-1.16400742530823,1214.94384765625
1,422231.2594,3367480.802,-0.246583998203278,967.810180664062
1,425976.9845,3362871.891,-1.29244112968445,1386.19287109375
1,427303.5769,3363524.456,-0.832385063171387,1317.00854492188
1,426397.0292,3359237.102,-0.521824777126312,1147.16931152344
1,426611.3904,3358930.778,-0.602110505104065,1240.369140625
1,427218.8611,3358870.847,0.647352814674377,997.453735351562
1,427749.5693,3358466.354,0.176819443702698,1111.52587890625
1,429414.3491,3359410.517,-1.19805085659027,1367.19677734375
1,429453.5088,3358735.127,-1.0964081287384,1247.84094238281
1,373390.4647,3359366.164,0.713370800018311,1148.27331542969
1,364251.8886,3367329.293,2.53826856613159,1287.63330078125
1,365189.8785,3366724.348,1.36555516719818,1155.16430664062
0,365262.8298,3367455.488,3.1827085018158,1120.40612792969
